Rank,Country or Territory,Combatant Command,Overall Score Normed,ISO3
8,Afghanistan,CENTCOM,0.157034,AFG
118,Albania,EUCOM,0.626259,ALB
72,Algeria,AFRICOM,0.496612,DZA
115,Andorra,EUCOM,0.625221,AND
6,Angola,AFRICOM,0.148414,AGO
139,Antigua and Barbuda,SOUTHCOM,0.693938,ATG
144,Argentina,SOUTHCOM,0.707041,ARG
143,Armenia,EUCOM,0.706912,ARM
184,Australia,PACOM,0.912517,AUS
175,Austria,EUCOM,0.874243,AUT
89,Azerbaijan,EUCOM,0.550328,AZE
126,Bahamas,NORTHCOM,0.653653,BHS
130,Bahrain,CENTCOM,0.663702,BHR
56,Bangladesh,PACOM,0.422107,BGD
135,Barbados,SOUTHCOM,0.681515,BRB
113,Belarus,EUCOM,0.616419,BLR
174,Belgium,EUCOM,0.870933,BEL
90,Belize,SOUTHCOM,0.551546,BLZ
14,Benin,AFRICOM,0.206682,BEN
62,Bhutan,PACOM,0.46088,BTN
75,Bolivia,SOUTHCOM,0.500436,BOL
79,Bosnia and Herzegovina,EUCOM,0.523079,BIH
87,Botswana,AFRICOM,0.548363,BWA
148,Brazil,SOUTHCOM,0.716641,BRA
159,Brunei,PACOM,0.762886,BRN
133,Bulgaria,EUCOM,0.66612,BGR
20,Burkina Faso,AFRICOM,0.231504,BFA
39,Burundi,AFRICOM,0.354104,BDI
41,Cambodia,PACOM,0.355133,KHM
50,Cameroon,AFRICOM,0.38877,CMR
194,Canada,NORTHCOM,0.9734,CAN
65,Cape Verde,AFRICOM,0.486189,CPV
2,Central African Republic,AFRICOM,0.000061,CAF
3,Chad,AFRICOM,0.09845,TCD
168,Chile,SOUTHCOM,0.801129,CHL
129,China,PACOM,0.663535,CHN
28,Cote d'Ivoire,AFRICOM,0.270743,CIV
103,Colombia,SOUTHCOM,0.58385,COL
21,Comoros,AFRICOM,0.238068,COM
154,Costa Rica,SOUTHCOM,0.73696,CRI
149,Croatia,EUCOM,0.719996,HRV
140,Cuba,SOUTHCOM,0.69591,CUB
132,Cyprus,EUCOM,0.66563,CYP
172,Czech Republic,EUCOM,0.847175,CZE
46,Democratic People Republic of Korea (North Korea),PACOM,0.37487,PRK
11,Congo,AFRICOM,0.181762,CONGO
190,Denmark,EUCOM,0.953641,DNK
31,Djibouti,AFRICOM,0.297892,DJI
107,Dominica,SOUTHCOM,0.60417,DMA
73,Dominican Republic,SOUTHCOM,0.499533,DOM
100,Ecuador,SOUTHCOM,0.575843,ECU
80,Egypt,CENTCOM,0.530405,EGY
110,El Salvador,SOUTHCOM,0.607731,SLV
58,"Equatorial
Guinea",AFRICOM,0.430054,GNQ
23,Eritrea,AFRICOM,0.252978,ERI
167,Estonia,EUCOM,0.797443,EST
47,Ethiopia,AFRICOM,0.382021,ETH
95,Fiji,PACOM,0.567238,FJI
193,Finland,EUCOM,0.968274,FIN
173,France,EUCOM,0.855407,FRA
52,Gabon,AFRICOM,0.40295,GAB
152,Georgia,EUCOM,0.735821,GEO
192,Germany,EUCOM,0.96689,DEU
63,Ghana,AFRICOM,0.462565,GHA
150,Greece,EUCOM,0.734145,GRC
105,Grenada,SOUTHCOM,0.597669,GRD
64,Guatemala,SOUTHCOM,0.477179,GTM
17,Guinea,AFRICOM,0.213225,GIN
13,Guinea-Bissau,AFRICOM,0.187841,GNB
91,Guyana,SOUTHCOM,0.554987,GUY
7,Haiti,SOUTHCOM,0.149471,HTI
54,Honduras,SOUTHCOM,0.407296,HND
166,Hungary,EUCOM,0.795623,HUN
183,Iceland,EUCOM,0.908112,ISL
71,India,PACOM,0.493799,IND
94,Indonesia,PACOM,0.562944,IDN
96,Iran,CENTCOM,0.567841,IRN
59,Iraq,CENTCOM,0.432182,IRQ
182,Ireland,EUCOM,0.90632,IRL
163,Israel,EUCOM,0.782439,ISR
171,Italy,EUCOM,0.82169,ITA
74,Jamaica,SOUTHCOM,0.499783,JAM
189,Japan,PACOM,0.92641,JPN
145,Jordan,CENTCOM,0.707361,JOR
109,Kazakhstan,CENTCOM,0.607098,KAZ
48,Kenya,AFRICOM,0.385436,KEN
49,Kiribati,PACOM,0.388403,KIR
106,Kosovo,EUCOM,0.599085,XXK
131,Kuwait,CENTCOM,0.664856,KWT
93,Kyrgyzstan,CENTCOM,0.555486,KGZ
40,Laos,PACOM,0.355111,LAO
160,Latvia,EUCOM,0.763937,LVA
86,Lebanon,CENTCOM,0.546332,LBN
38,Lesotho,AFRICOM,0.34486,LSO
16,Liberia,AFRICOM,0.213114,LBR
70,Libya,AFRICOM,0.493272,LBY
155,Liechtenstein,EUCOM,0.737219,LIE
162,Lithuania,EUCOM,0.771597,LTU
177,Luxembourg,EUCOM,0.875694,LUX
136,Macedonia(FYROM),EUCOM,0.68599,MKD
10,Madagascar,AFRICOM,0.170787,MDG
29,Malawi,AFRICOM,0.279987,MWI
158,Malaysia,PACOM,0.761135,MYS
101,Maldives,PACOM,0.576299,MDV
12,Mali,AFRICOM,0.184254,MLI
142,Malta,EUCOM,0.706869,MLT
84,"Marshall
Islands",PACOM,0.544611,MHL
5,Mauritania,AFRICOM,0.107294,MRT
122,Mauritius,AFRICOM,0.635763,MUS
151,Mexico,NORTHCOM,0.734971,MEX
57,Micronesia,PACOM,0.425305,FSM
123,Moldova,EUCOM,0.635987,MDA
157,Monaco,EUCOM,0.753737,MCO
117,Mongolia,PACOM,0.626185,MNG
112,Montenegro,EUCOM,0.612065,MNE
98,Morocco,AFRICOM,0.569769,MAR
25,Mozambique,AFRICOM,0.262501,MOZ
60,Myanmar,PACOM,0.448176,MMR
67,Namibia,AFRICOM,0.490478,NAM
53,Nepal,PACOM,0.404405,NPL
187,Netherlands,EUCOM,0.918935,NLD
186,New Zealand,PACOM,0.916279,NZL
69,Nicaragua,SOUTHCOM,0.492491,NIC
9,Niger,AFRICOM,0.166531,NER
27,Nigeria,AFRICOM,0.270681,NGA
195,Norway,EUCOM,1,NOR
121,Oman,CENTCOM,0.633743,OMN
32,Pakistan,CENTCOM,0.308544,PAK
128,Palau,PACOM,0.65801,PLW
61,Palestine,CENTCOM,0.450415,#N/A
108,Panama,SOUTHCOM,0.606521,PAN
36,"Papua New
Guinea",PACOM,0.339184,PNG
83,Paraguay,SOUTHCOM,0.541167,PRY
125,Peru,SOUTHCOM,0.64567,PER
85,Philippines,PACOM,0.544923,PHL
164,Poland,EUCOM,0.782799,POL
180,Portugal,EUCOM,0.888782,PRT
165,Qatar,CENTCOM,0.787534,QAT
179,Republic of Korea (South Korea),PACOM,0.879402,KOR
26,Republic of the Congo(Congo-Brazzaville),AFRICOM,0.268887,COD
127,Romania,EUCOM,0.657694,ROU
124,Russia,EUCOM,0.639878,RUS
42,Rwanda,AFRICOM,0.3553,RWA
138,"Saint Kitts
and Nevis",SOUTHCOM,0.691572,KNA
78,Saint Lucia,SOUTHCOM,0.516511,LCA
88,"Saint Vincent
and the
Grenadines",SOUTHCOM,0.549145,VCT
102,Samoa,PACOM,0.580679,WSM
137,San Marino,EUCOM,0.687314,SMR
153,Saudi Arabia,CENTCOM,0.736844,SAU
34,Senegal,AFRICOM,0.329156,SEN
97,Serbia,EUCOM,0.568934,SRB
119,Seychelles,AFRICOM,0.628108,SYC
18,Sao Tome and Principe,AFRICOM,0.223256,STP
19,Sierra Leone,AFRICOM,0.223397,SLE
178,Singapore,PACOM,0.878289,SGP
170,Slovakia,EUCOM,0.808457,SVK
169,Slovenia,EUCOM,0.80579,SVN
45,"Solomon
Islands",PACOM,0.370311,SLB
1,Somalia,AFRICOM,0,SOM
141,South Africa,AFRICOM,0.697292,ZAF
4,South Sudan,AFRICOM,0.100836,SSDN
176,Spain,EUCOM,0.875475,ESP
99,Sri Lanka,PACOM,0.571001,LKA
30,Sudan,AFRICOM,0.29158,SDN
92,Suriname,SOUTHCOM,0.55532,SUR
43,Swaziland,AFRICOM,0.35847,SWZ
191,Sweden,EUCOM,0.955625,SWE
185,Switzerland,EUCOM,0.915839,CHE
51,Syria,CENTCOM,0.391337,SYR
146,Taiwan,PACOM,0.709691,TWN
76,Tajikistan,CENTCOM,0.507026,TJK
37,Tanzania,AFRICOM,0.340445,TZA
147,Thailand,PACOM,0.711334,THA
15,The Gambia,AFRICOM,0.207809,GMB
33,Timor-Leste,PACOM,0.310208,TLS
24,Togo,AFRICOM,0.259396,TGO
120,Tonga,PACOM,0.630046,TON
104,Trinidad andTobago,SOUTHCOM,0.594998,TTO
82,Tunisia,AFRICOM,0.535451,TUN
134,Turkey,EUCOM,0.677438,TUR
66,Turkmenistan,CENTCOM,0.486696,TKM
111,Tuvalu,PACOM,0.608741,TUV
44,Uganda,AFRICOM,0.36585,UGA
114,Ukraine,EUCOM,0.617343,UKR
161,United Arab Emirates,CENTCOM,0.7652,ARE
188,United States,NORTHCOM,0.924939,USA
181,United Kingdom,EUCOM,0.897495,GBR
156,Uruguay,SOUTHCOM,0.745957,URY
77,Uzbekistan,CENTCOM,0.515492,UZB
68,Vanuatu,PACOM,0.490878,VUT
81,Venezuela,SOUTHCOM,0.530692,VEN
116,Vietnam,PACOM,0.626124,VNM
22,Yemen,CENTCOM,0.250277,YEM
55,Zambia,AFRICOM,0.420459,ZMB
35,Zimbabwe,AFRICOM,0.337478,ZWE
